ITEM_NUM,UCC,CONFIG,UOM,DESCR,REPACK,CONV_FACTOR,HEIGHT,WIDTH,LEN,MIN WGT,MAX WGT,TARE WGT
D2826AC,90027182006623,IBP,CS,CAB FRENCHED RIBEYE 12X12,MISC,1,9.3125,18.9375,23.8125,1,100,3.4
D2826AC,90027182006623,IBP,PAL,CAB FRENCHED RIBEYE 12X12,,20,76,40,48,600,1100,0
D2826AC,90027182006623,DAKOTA,CS,CAB FRENCHED RIBEYE 12X12,MISC,1,9.3125,18.9375,23.8125,2,200,3.125
D2826AC,90027182006623,DAKOTA,PAL,CAB FRENCHED RIBEYE 12X12,,20,76,40,48,600,1100,1
D4086AH,90027182009235,IBP,CS,CAB TENDERLOIN PSMO,MISC,1,9.3125,15.8125,23.8125,5,1000,3.2
D4086AH,90027182009235,IBP,PAL,CAB TENDERLOIN PSMO,,30,76,40,48,1800,2850,0
D4086AH,90027182009235,DAKOTA,CS,CAB TENDERLOIN PSMO,MISC,1,9.3125,15.8125,23.8125,10,100,3.2
D4086AH,90027182009235,DAKOTA,PAL,CAB TENDERLOIN PSMO,,30,76,40,48,900,2520,0
D4227AC,90027182006104,IBP,CS,BI SHORT LOIN XT 0X1 CH,MISC,1,9.1875,18.9375,24.25,5,100,4.2
D4227AC,90027182006104,IBP,PAL,BI SHORT LOIN XT 0X1 CH,,20,76,40,48,1320,1720,0
D4227AC,90027182006104,DAKOTA,CS,BI SHORT LOIN XT 0X1 CH,MISC,1,9.1875,18.9375,24.25,5,100,4.2
D4227AC,90027182006104,DAKOTA,PAL,BI SHORT LOIN XT 0X1 CH,,20,76,40,48,1320,1720,0
D4274AH,90027182007415,IBP,CS,LOIN STRIP 0X1 USDA SELECT,MISC,1,9.3125,15.8125,23.8125,5,100,2.9
D4274AH,90027182007415,IBP,PAL,LOIN STRIP 0X1 USDA SELECT,,25,76,40,48,1275,2075,0
D4274AH,90027182007415,DAKOTA,CS,LOIN STRIP 0X1 USDA SELECT,MISC,1,9.3125,15.8125,23.8125,1,2500,3
D4274AH,90027182007415,DAKOTA,PAL,LOIN STRIP 0X1 USDA SELECT,,30,76,40,48,1280,2790,0
D4276AH,90027182009556,IBP,CS,CAB LOIN STRIP 0X1,MISC,1,9.3125,15.8125,23.8125,10,930,2.9
D4276AH,90027182009556,IBP,PAL,CAB LOIN STRIP 0X1,,25,76,40,48,1275,2075,0
D4276AH,90027182009556,DAKOTA,CS,CAB LOIN STRIP 0X1,MISC,1,9.3125,15.8125,23.8125,20,900,3
D4276AH,90027182009556,DAKOTA,PAL,CAB LOIN STRIP 0X1,,30,76,40,48,600,2790,0
D4277AC,90027182097003,IBP,CS,BNLS LOIN STRIP 0X1 CHOICE,BAC,1,9.1875,15.75,24.25,51,83,5.7
D4277AC,90027182097003,IBP,PAL,BNLS LOIN STRIP 0X1 CHOICE,,20,76,40,48,1020,1660,0
D4277AH,90027182001758,IBP,CS,BNLS LOIN STRIP 0X1 CHOICE,MISC,1,9.3125,15.8125,23.8125,5,900,2.9
D4277AH,90027182001758,IBP,PAL,BNLS LOIN STRIP 0X1 CHOICE,,25,76,40,48,600,2075,0
D4277AH,90027182001758,DAKOTA,CS,BNLS LOIN STRIP 0X1 CHOICE,MISC,1,9.3125,15.8125,23.8125,15,900,3
D4277AH,90027182001758,DAKOTA,PAL,BNLS LOIN STRIP 0X1 CHOICE,,30,76,40,48,600,3000,0
D4279AH,90027182018862,IBP,CS,BEEF LOIN STRIP 0X1 PRIME,MISC,1,9.1875,15.75,24.25,10,88,2.8
D4279AH,90027182018862,IBP,PAL,BEEF LOIN STRIP 0X1 PRIME,,25,76,40,48,1275,2075,0
D4279AH,90027182018862,DAKOTA,CS,BEEF LOIN STRIP 0X1 PRIME,MISC,1,9.3125,15.8125,23.8125,15,88,2.9
D4279AH,90027182018862,DAKOTA,PAL,BEEF LOIN STRIP 0X1 PRIME,,30,76,40,48,1530,2490,0
D4376AC,90027182009563,IBP,CS,CAB SHORT LOIN XT,MISC,1,9.3125,18.9375,23.8125,1,3000,3.5
